,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
378853,10.0,0.025,8.0,2.0,,20.0,0.001,10.0,-22.270495,116.913428
378854,12.0,0.025,8.0,2.0,,20.0,0.001,10.0,-22.270432,116.913496
378855,12.0,0.025,8.0,3.0,,15.0,0.001,10.0,-22.270323,116.913593
378856,16.0,0.025,8.0,3.0,,15.0,0.001,10.0,-22.27036,116.914272
378857,10.0,0.025,6.0,1.0,,15.0,0.001,10.0,-22.270414,116.913768
378858,16.0,0.025,6.0,2.0,,10.0,0.001,10.0,-22.270332,116.913739
378859,12.0,0.025,8.0,2.0,,15.0,0.001,10.0,-22.270333,116.913865
378860,10.0,0.025,12.0,2.0,,15.0,0.001,10.0,-22.270333,116.913904
378861,10.0,0.025,8.0,3.0,,15.0,0.001,10.0,-22.270314,116.913933
378862,10.0,0.025,8.0,5.0,,15.0,0.001,10.0,-22.270278,116.914001
378863,14.5,0.022,49.8,7.48,0.005,8.98,0.072,0.28,-29.429368,121.825752
378864,8.7,0.01,74.1,7.49,0.007,4.28,0.078,0.8,-29.429359,121.825752
378865,27.2,0.007,221.0,17.15,0.001,8.32,0.138,2.23,-29.42935,121.825752
378866,45.2,0.046,67.9,13.4,0.003,31.3,0.066,0.14,-29.429341,121.825752
378867,109.5,0.077,106.5,1.86,0.0,69.6,0.071,0.15,-29.425037,121.824771
378868,79.1,0.049,73.8,4.64,0.01,116.0,0.06,0.09,-29.425001,121.824771
379129,129.0,0.025,18.0,11.7,0.0005,6.5,0.26,1.24,-28.956622,124.690797
379156,27.0,0.12,36.2,4.6,0.01,7.5,0.02,0.3,-29.212971,116.953497
379157,134.0,0.41,37.6,2.0,0.005,11.5,0.035,0.41,-29.206001,116.953695
379159,49.0,0.25,28.0,6.0,,5.0,0.013,2.5,-24.20439,128.36692
379160,9.0,0.25,9.0,15.0,,2.0,0.022,2.5,-24.144846,128.241849
379161,3.0,0.25,4.0,11.0,,1.0,0.0025,2.5,-24.15106,128.233256
379162,5.0,0.25,6.0,3.0,,3.0,0.009,2.5,-24.122874,128.188146
379163,12.0,0.25,0.5,5.0,,0.5,0.0025,2.5,-24.022073,128.073456
379164,16.0,0.25,9.0,12.0,,7.0,0.028,2.5,-24.129559,128.185681
379165,5.0,0.25,11.0,14.0,,9.0,0.043,2.5,-24.129342,128.180634
379166,23.0,0.25,21.0,26.0,,4.0,0.031,2.5,-24.127912,128.174965
379167,7.0,0.25,6.0,8.0,,5.0,0.007,2.5,-24.114323,128.1623
379168,10.0,0.25,8.0,10.0,,6.0,0.01,2.5,-24.114513,128.162446
379169,1.0,0.25,2.0,6.0,,0.5,0.006,2.5,-23.97419,127.79062
379170,3.0,0.25,2.0,8.0,,0.5,0.006,2.5,-24.021423,127.805995
